latitude,longitude,timestamp,traj_id
-50.0533,142.3741,1695330652.0,0
-50.1426,142.8863,1695330658.0,0
-50.2216,143.3537,1695330663.0,0
-50.3062,143.8695,1695330668.0,0
-50.3809,144.34,1695330673.0,0
-50.4534,144.812,1695330678.0,0
-50.5309,145.3331,1695330684.0,0
-50.5991,145.8083,1695330689.0,0
-50.6717,146.3328,1695330694.0,0
-50.7354,146.8109,1695330699.0,0
-50.8031,147.3385,1695330705.0,0
-50.8623,147.8194,1695330710.0,0
-50.9194,148.3017,1695330715.0,0
-50.9797,148.8336,1695330720.0,0
-51.0322,149.3182,1695330725.0,0
-51.0875,149.8527,1695330731.0,0
-51.1354,150.3396,1695330736.0,0
-51.1811,150.8277,1695330741.0,0
-51.2288,151.3656,1695330746.0,0
-51.2698,151.8556,1695330751.0,0
-51.3087,152.3465,1695330756.0,0
-51.3488,152.8875,1695330762.0,0
-51.3829,153.3802,1695330767.0,0
-51.4178,153.9229,1695330772.0,0
-51.4472,154.4174,1695330777.0,0
-51.4743,154.9121,1695330782.0,0
-51.5015,155.4572,1695330788.0,0
-51.5238,155.9532,1695330793.0,0
-51.5439,156.4497,1695330798.0,0
-51.5634,156.9963,1695330804.0,0
-51.5786,157.4935,1695330809.0,0
-51.5928,158.0412,1695330814.0,0
-51.6033,158.5391,1695330819.0,0
-51.6115,159.0372,1695330824.0,0
-51.6178,159.5854,1695330830.0,0
-51.6212,160.0838,1695330835.0,0
-51.6223,160.5824,1695330840.0,0
-51.6208,161.1307,1695330845.0,0
-51.6171,161.6291,1695330850.0,0
-51.611,162.1275,1695330855.0,0
-51.6017,162.6754,1695330861.0,0
-51.5909,163.1733,1695330866.0,0
-51.5763,163.7207,1695330871.0,0
-51.5606,164.218,1695330876.0,0
-51.5427,164.7149,1695330881.0,0
-51.5203,165.261,1695330887.0,0
-51.4976,165.7569,1695330892.0,0
-51.47,166.3016,1695330897.0,0
-51.4425,166.7964,1695330902.0,0
-51.4128,167.2906,1695330907.0,0
-51.3775,167.8333,1695330913.0,0
-51.343,168.3258,1695330918.0,0
-51.3063,168.8177,1695330923.0,0
-51.2633,169.3577,1695330928.0,0
-51.2219,169.8477,1695330933.0,0
-51.1737,170.3856,1695330939.0,0
-51.1277,170.8735,1695330944.0,0
-51.0794,171.3604,1695330949.0,0
-51.0237,171.8947,1695330954.0,0
-50.9708,172.3794,1695330959.0,0
-50.9102,172.911,1695330965.0,0
-50.8527,173.3932,1695330970.0,0
-50.7931,173.874,1695330975.0,0
-50.725,174.4015,1695330980.0,0
-50.6609,174.8796,1695330985.0,0
-50.5947,175.3562,1695330990.0,0
-50.5193,175.8789,1695330996.0,0
-50.4487,176.3526,1695331001.0,0
-50.3685,176.8719,1695331006.0,0
-50.2934,177.3424,1695331011.0,0
-50.2085,177.8582,1695331017.0,0
-50.1291,178.3253,1695331022.0,0
-50.0477,178.7909,1695331027.0,0
-49.9558,179.301,1695331032.0,0
-49.8701,179.7629,1695331037.0,0
-49.7735,180.2691,1695331043.0,0
